T,Po,U,Ff,RRR
14.0,565.9,91,1,0
13.4,564.6,94,1,1
11.5,565.3,96,3,1
14.1,564.6,92,2,1
16.1,563.4,76,5,1
12.6,565.5,94,1,1
12.4,565.2,97,1,0
13.0,565.5,94,4,0
17.4,564.2,64,2,1
15.0,565.8,83,2,1
12.1,565.2,95,3,1
13.7,564.0,96,0,1
12.5,564.9,91,2,1
12.2,564.8,97,2,1
15.1,564.3,86,1,1
17.8,564.0,69,5,1
12.7,564.8,91,2,1
14.4,564.2,91,2,1
15.3,563.4,89,2,0
12.1,565.7,94,3,1
20.6,564.6,55,5,0
13.6,565.5,88,1,1
19.5,565.2,58,5,1
16.5,566.6,70,3,1
12.1,565.8,98,1,1
14.6,565.8,84,2,0
19.2,564.7,61,4,0
16.9,566.1,72,5,1
12.6,565.5,94,1,1
13.5,566.3,83,1,1
11.6,566.7,93,0,1
17.3,565.1,63,4,1
15.5,566.7,75,1,0
11.5,566.4,94,1,1
12.6,565.1,89,1,1
12.6,565.5,91,2,1
12.5,565.8,86,2,1
10.6,564.9,92,2,1
12.3,565.9,80,2,1
11.5,564.8,89,1,0
9.6,564.8,95,1,0
11.5,564.9,90,1,1
12.7,565.7,91,1,0
11.9,565.4,91,2,1
11.9,565.5,94,2,0
12.3,565.5,92,2,0
14.0,564.2,80,5,1
15.0,564.9,80,3,1
11.3,565.2,95,2,1
11.1,565.1,99,1,1
12.0,565.9,92,1,1
11.1,565.3,94,2,1
10.2,564.8,97,1,0
13.5,565.5,90,1,0
13.9,564.5,85,2,1
12.5,565.2,94,2,1
12.2,565.2,94,0,1
12.2,565.2,84,2,1
12.6,564.6,91,1,1
9.5,565.3,98,2,0
10.7,564.4,97,2,1
14.8,563.6,82,2,0
11.5,565.7,94,1,1
11.6,565.5,89,2,1
9.7,564.9,98,1,1
11.0,565.0,100,2,1
13.0,564.7,90,1,0
17.5,564.8,59,3,0
10.5,565.7,93,2,1
14.8,564.0,86,3,1
17.2,564.6,62,3,1
10.5,565.2,97,1,0
12.0,564.4,84,2,1
15.7,564.0,66,3,1
7.4,565.2,97,1,1
13.8,564.0,84,4,1
8.3,565.5,97,1,1
11.0,565.9,97,1,0
15.2,563.8,85,4,0
16.9,565.1,63,2,0
10.8,565.9,92,2,1
11.4,565.9,96,1,0
13.0,564.6,90,2,1
11.6,565.5,96,1,1
11.0,565.3,97,1,0
14.9,563.8,72,3,1
11.6,564.8,88,3,1
19.8,566.0,92,1,0
11.6,565.9,96,2,1
12.2,564.9,94,1,1
9.6,565.1,95,2,1
12.2,564.9,92,3,0
12.6,564.6,86,4,0
10.6,565.5,95,1,0
11.1,565.8,95,2,1
12.4,564.9,85,2,1
13.8,564.6,88,3,1
9.5,565.7,98,2,1
10.4,566.3,92,1,1
11.4,566.1,91,2,1
12.6,564.2,96,1,1
10.9,565.2,98,2,1
14.0,563.8,86,2,0
11.7,565.2,87,2,1
11.7,564.9,91,3,1
12.0,564.8,95,2,1
13.4,566.4,79,2,1
16.3,565.8,69,3,0
12.3,566.3,80,3,0
13.4,566.5,83,5,1
11.6,565.8,94,2,1
10.5,565.7,94,3,1
16.0,565.9,59,6,0
8.2,565.2,95,2,0
12.4,565.5,84,4,0
14.6,565.2,80,4,0
14.8,565.9,68,5,1
13.2,566.4,87,2,1
12.4,565.7,91,2,1
9.8,564.8,97,1,1
11.3,566.8,86,3,1
14.4,564.6,72,2,1
15.1,564.0,70,1,1
14.3,565.2,81,1,1
15.1,565.7,72,1,0
11.5,566.2,97,1,1
11.6,565.2,86,2,1
11.5,565.9,90,2,1
12.3,564.8,88,3,0
11.9,565.8,91,3,1
9.5,565.4,98,2,0
17.9,563.8,54,5,0
18.4,564.7,57,2,0
15.3,565.5,70,3,0
11.8,565.1,88,3,0
11.8,565.9,84,1,0
10.6,565.5,91,2,1
10.8,565.7,96,2,1
8.5,565.5,95,2,0
10.0,565.5,91,2,1
12.7,565.5,94,2,0
11.1,565.2,93,2,1
11.8,565.2,88,3,1
13.6,564.9,93,2,1
12.1,565.7,89,2,1
12.1,566.1,92,2,1
12.8,564.6,91,2,1
10.5,565.5,92,3,1
10.9,565.5,96,1,1
10.3,565.5,95,1,1
13.6,564.9,84,2,1
16.7,564.0,75,2,1
9.5,565.7,97,2,1
12.5,564.6,86,1,1
11.8,565.5,88,2,1
17.1,565.2,60,2,1
11.8,565.3,80,3,1
12.1,565.7,92,2,1
11.6,565.2,90,2,1
12.8,564.2,77,3,1
16.0,563.6,63,5,1
12.7,564.9,88,3,1
10.7,564.9,90,2,1
10.9,564.4,94,2,0
16.1,564.6,69,3,1
13.9,565.9,81,2,1
10.5,565.3,94,2,1
11.4,564.6,98,2,1
11.3,565.2,90,2,1
16.1,565.9,64,2,0
11.0,565.3,92,3,1
16.1,565.9,65,8,1
14.5,566.7,77,6,1
11.1,566.1,94,2,1
12.8,564.8,95,3,1
11.3,566.6,80,2,0
16.3,566.1,76,3,1
12.0,566.2,93,1,1
14.0,565.2,75,3,1
13.9,564.8,90,2,1
11.8,566.1,94,1,1
17.5,565.1,54,6,1
14.7,566.1,74,4,0
11.4,565.8,90,2,1
11.9,566.2,97,2,1
14.2,564.8,83,2,0
6.4,566.1,98,1,1
10.5,565.8,88,3,1
10.4,565.7,93,2,1
9.7,566.1,92,2,0
13.6,564.4,79,6,0
10.5,565.8,94,2,1
10.0,565.5,94,2,1
9.0,565.3,94,1,0
15.2,563.7,72,2,0
10.3,566.1,75,2,0
11.4,565.1,94,1,1
12.6,564.2,93,5,1
13.5,563.8,84,2,0
15.3,563.2,79,4,0
7.3,565.5,98,1,1
17.0,563.6,57,3,0
9.6,565.3,91,1,0
11.3,565.5,91,1,0
13.8,565.1,81,4,1
14.1,565.2,82,6,0
15.5,566.2,65,2,0
11.5,565.7,91,2,0
9.9,565.9,90,2,1
13.0,565.5,82,2,0
14.7,564.0,84,4,0
15.0,564.9,81,4,0
13.4,564.0,88,2,1
14.0,565.2,82,18,1
11.5,564.9,94,2,0
11.6,564.4,97,1,1
16.0,564.6,79,3,1
11.4,564.8,97,2,1
11.3,564.6,95,1,1
12.5,564.7,83,1,1
12.4,564.2,86,6,1
10.6,565.3,97,2,1
15.0,565.3,67,7,0
13.3,566.4,79,2,0
11.8,565.3,84,5,1
9.3,566.1,93,2,0
13.4,566.7,76,2,0
12.7,565.5,80,2,0
15.2,564.4,66,3,0
16.9,564.8,60,4,0
18.3,565.9,56,8,0
14.1,567.2,85,3,0
10.0,566.1,94,1,0
11.1,566.7,87,2,0
11.8,565.7,94,3,1
14.4,564.2,83,2,0
12.8,564.2,84,2,1
16.7,562.9,77,3,0
10.2,565.5,98,1,1
11.3,565.3,95,1,1
11.5,565.9,96,1,0
11.5,564.9,91,3,1
11.0,565.7,92,1,0
11.5,566.1,80,2,0
13.8,565.3,70,2,0
9.5,565.5,97,2,1
13.2,564.4,74,1,0
14.9,563.8,78,3,0
13.2,564.4,74,2,1
18.1,563.5,66,2,1
9.6,565.4,97,1,0
11.6,566.1,92,2,1
12.8,564.6,89,1,1
8.4,565.7,99,1,1
15.4,563.7,73,4,1
11.1,565.9,94,1,1
10.7,565.1,97,2,0
10.6,565.5,97,2,1
15.8,563.4,68,2,0
8.9,565.5,98,0,1
10.2,566.3,97,2,0
13.8,563.6,88,4,1
11.2,565.5,91,2,0
14.4,563.4,83,4,1
9.6,565.9,99,2,1
9.6,565.5,98,1,0
10.8,565.5,96,1,1
14.2,564.6,79,1,0
9.8,565.9,88,2,0
16.1,562.8,74,3,0
11.9,565.5,94,1,1
11.1,565.2,95,1,1
11.4,564.6,96,2,0
14.4,565.3,64,3,0
16.8,564.8,59,10,0
10.6,565.2,95,1,1
12.1,564.6,87,2,1
11.4,567.0,84,1,0
10.9,566.1,95,2,0
12.0,564.2,95,2,1
13.8,563.3,85,3,1
11.2,564.4,96,1,1
11.5,565.2,98,1,1
10.6,564.0,98,3,0
12.1,563.4,97,1,1
13.0,563.7,95,4,1
10.1,565.1,98,2,1
15.2,562.9,67,4,1
11.2,563.4,85,1,0
12.4,564.8,83,2,1
11.6,565.8,86,3,0
10.3,566.7,91,3,0
12.2,564.3,94,1,1
12.9,563.3,86,1,1
13.9,564.2,89,1,1
14.9,563.4,86,2,1
9.8,565.5,97,2,1
13.3,564.8,91,2,1
13.9,563.7,97,6,1
13.5,564.2,90,2,1
14.4,563.1,88,5,1
12.0,565.2,84,3,1
11.5,565.5,97,1,1
13.6,564.3,91,1,1
14.6,562.9,86,3,1
10.2,565.2,99,2,1
12.0,564.6,93,1,1
13.4,563.8,89,3,1
15.5,564.0,85,6,1
11.6,565.3,98,1,1
12.8,566.3,96,1,1
12.4,564.8,98,1,1
11.8,565.7,98,2,1
17.4,565.2,67,2,1
14.9,567.0,77,2,1
11.6,565.7,91,2,1
11.2,564.9,92,2,0
11.9,565.7,91,3,1
12.1,565.3,93,2,1
15.5,562.9,86,3,1
11.7,566.4,97,1,1
12.0,564.8,97,2,1
12.2,564.0,96,0,1
12.8,564.6,97,1,1
13.4,564.6,89,2,0
15.1,563.7,85,4,0
11.3,565.7,91,3,1
11.5,565.5,94,3,1
13.0,565.1,84,1,0
13.0,565.1,84,2,0
12.5,566.1,92,2,0
17.1,565.5,72,2,0
12.6,564.9,96,2,1
12.2,563.7,97,1,1
14.3,563.7,87,1,1
11.9,563.4,97,1,1
12.6,564.7,95,1,1
11.9,563.4,97,1,1
12.3,564.2,98,1,1
13.5,564.2,93,3,1
18.7,563.8,70,2,0
13.3,565.3,88,1,1
12.4,565.2,93,1,1
10.7,566.4,95,1,1
11.0,565.5,91,3,1
13.4,564.6,82,1,0
15.4,563.4,74,5,0
11.2,565.1,99,1,1
11.6,564.9,96,1,1
13.0,566.3,92,2,0
15.2,565.2,77,2,1
15.2,563.7,85,3,1
12.7,565.5,90,2,1
14.9,564.2,82,3,0
12.5,566.2,90,2,1
12.7,565.8,89,1,0
12.0,566.3,94,2,0
12.3,564.8,93,2,1
10.4,566.1,100,2,1
11.6,565.7,94,2,1
11.6,565.9,95,1,1
11.1,565.7,94,1,1
13.8,564.3,89,2,1
15.1,563.4,82,4,0
11.1,564.8,99,1,1
14.3,564.9,85,1,1
15.1,563.7,86,1,0
11.8,565.3,89,2,1
13.4,564.9,86,1,1
14.2,564.0,86,2,1
11.9,565.2,97,1,1
17.0,562.7,74,3,0
17.7,564.0,63,2,0
10.4,565.3,93,1,1
13.4,565.8,82,2,0
12.0,564.7,96,2,1
12.0,564.9,94,1,1
12.6,564.9,96,1,0
14.2,563.4,90,1,1
14.2,562.5,89,4,0
13.3,564.3,87,1,0
17.7,564.9,64,2,0
13.1,564.7,90,1,1
12.1,564.8,96,1,0
13.8,564.2,83,1,0
17.5,562.9,68,5,0
16.7,564.2,76,6,0
13.6,565.5,87,2,1
13.1,564.6,88,0,0
16.0,564.8,75,7,0
12.3,565.2,87,1,0
13.6,562.7,92,2,1
11.9,564.4,94,2,1
11.2,564.7,91,5,1
11.6,563.3,96,1,1
11.2,564.0,94,1,1
11.1,565.2,93,2,1
11.0,564.0,96,2,0
13.3,564.0,88,2,0
12.7,563.8,91,3,0
9.5,564.6,94,2,1
17.4,563.1,56,3,0
10.5,565.3,92,2,0
8.6,565.5,96,2,1
10.6,564.2,93,2,1
8.9,565.2,97,2,1
11.6,565.3,96,1,1
11.8,564.3,92,1,0
10.6,565.3,90,1,0
13.2,564.9,89,2,1
13.5,564.2,88,1,1
11.2,565.8,87,2,1
11.5,566.1,95,0,1
11.1,564.9,97,1,0
11.7,565.8,94,1,1
9.2,565.9,95,1,0
11.0,565.9,98,1,0
11.8,564.8,94,1,1
15.1,564.9,81,4,0
11.4,565.7,99,2,1
11.6,565.9,97,1,0
9.7,565.7,97,1,1
11.3,565.7,96,2,0
14.5,566.6,80,2,0
11.2,565.7,96,1,1
11.9,564.2,97,1,1
10.9,565.5,95,1,0
11.1,564.6,96,1,0
13.4,565.7,88,4,0
11.5,565.7,87,2,1
11.5,565.9,96,2,1
10.3,565.2,97,1,1
10.9,565.9,96,2,1
9.0,565.2,98,2,1
10.6,564.4,97,1,0
12.1,564.2,88,3,1
10.4,564.9,96,2,1
12.0,564.4,93,1,1
7.5,565.3,98,1,1
10.5,564.9,95,3,1
9.6,565.3,98,2,1
9.6,564.6,90,2,1
6.9,564.8,97,3,0
13.4,563.7,68,3,0
13.2,564.4,89,2,1
8.4,564.0,98,2,1
12.7,564.2,93,1,1
12.7,563.8,92,2,1
10.6,565.9,94,2,1
9.9,565.9,94,3,1
13.3,564.6,87,1,1
12.5,564.0,93,2,1
12.1,564.9,96,2,1
12.6,564.0,89,3,0
12.5,565.2,88,2,1
11.6,564.9,98,2,1
12.8,564.6,91,1,1
14.0,564.0,86,3,1
13.9,565.5,85,1,1
12.2,564.9,94,4,0
11.8,564.9,97,1,0
11.5,565.3,98,1,1
11.4,565.0,98,1,1
13.9,564.6,83,3,1
13.9,565.9,90,4,1
11.5,566.4,96,2,1
11.8,566.3,93,1,0
12.5,564.8,91,1,0
12.7,565.3,85,1,1
15.3,566.1,74,4,0
13.3,564.6,87,1,1
10.7,564.9,88,3,1
10.9,564.6,95,3,1
14.0,563.1,88,4,0
12.6,564.0,93,2,1
11.9,564.4,94,3,1
12.1,565.1,95,1,1
11.4,565.3,91,1,0
10.6,565.7,92,2,1
13.8,565.9,91,2,1
11.2,564.8,96,1,1
11.8,564.9,96,1,1
7.5,564.9,94,1,0
12.7,565.1,90,3,1
12.7,564.2,93,1,1
11.0,564.6,95,2,1
13.0,564.2,91,1,0
12.1,564.7,96,1,1
16.4,564.0,74,7,1
12.5,565.1,94,2,1
14.8,564.9,73,1,1
10.9,565.3,99,2,1
12.5,565.8,92,2,1
11.6,565.5,89,4,1
12.5,565.9,90,2,0
12.2,565.3,93,0,1
12.1,565.9,92,2,0
19.5,564.0,46,7,0
11.5,565.8,94,1,1
12.5,566.1,90,3,1
15.8,567.8,78,3,1
12.9,565.7,94,1,1
18.6,566.1,61,2,1
11.6,566.7,98,2,1
12.2,565.7,93,3,1
12.9,565.7,94,1,1
14.0,566.1,91,2,0
15.7,564.0,85,3,1
12.6,565.5,88,3,1
12.8,565.5,96,1,1
14.0,564.9,92,1,0
12.4,565.7,96,1,1
12.9,565.4,98,2,1
16.2,563.1,79,2,1
12.6,564.8,94,2,1
13.0,565.1,84,2,0
16.7,564.6,71,2,0
12.9,565.7,94,3,1
13.5,567.0,92,2,1
17.6,565.5,70,7,0
15.5,566.8,78,3,1
12.1,566.3,94,1,1
16.6,566.7,71,2,1
12.4,566.4,92,1,1
12.7,566.4,91,2,1
12.3,565.2,95,1,1
10.9,566.1,99,2,0
18.3,563.8,67,5,0
12.0,566.1,96,2,1
14.4,566.2,79,1,0
15.3,565.5,81,2,0
19.2,565.2,54,7,1
17.1,566.3,64,3,1
11.9,566.3,91,2,0
12.6,567.0,93,1,1
17.6,565.5,62,6,1
13.5,566.3,93,3,1
12.7,565.2,92,2,0
13.2,565.7,93,1,1
12.6,566.1,80,2,1
18.6,565.9,57,7,1
11.5,566.7,95,3,1
11.2,565.8,95,2,1
13.7,566.4,77,3,1
12.9,566.8,83,3,0
14.4,565.1,73,1,1
17.2,564.0,64,4,1
12.3,565.3,92,2,0
12.5,565.3,85,4,1
12.0,565.7,82,2,0
12.0,565.7,88,3,0
12.0,565.9,91,1,1
18.2,564.8,57,7,0
12.8,565.7,93,2,0
