"12.8","565.7","93","2","0.75","0.5","18","11.7","24","0"
"9.6","566.8","90","3","0.95","0.75","15","8","24","0"
"14.8","565.8","69","4","0.6","0.25","15","9.2","6","0"
"13.7","563.8","78","2","0.75","0.5","15","9.9","6","0"
"16.9","563","74","3","0.6","0.4","8","12.3","3","0"
"10.5","566.8","98","1","0.5","0.5","8","10.2","24","1"
"12","565.4","86","2","1","0.25","20","9.7","6","1"
"13.6","564.9","79","2","1","0.25","20","9.9","3","1"
"16.2","565.3","75","6","1","0.5","8","11.7","6","0"
"10.5","564.9","91","2","0.95","0.25","15","9.1","24","1"
"10.8","564.3","89","3","1","0.1","20","9.1","6","1"
"12.7","564.8","83","4","0.95","0.4","16","9.9","3","1"
"14.4","562.9","77","2","0.6","0.4","18","10.3","6","0"
"17.7","562.2","64","4","0.95","0.6","15","10.8","3","0"
"18.6","563.4","54","4","0.75","0.6","9","9.1","6","0"
"17.9","563.4","59","2","0.6","0.4","20","9.6","3","0"
"18.1","564.7","58","4","0.95","0.95","16","9.6","6","0"
"16.5","565.8","60","1","0.95","0.95","20","8.7","3","0"
"11.5","565.3","88","3","0.6","0.6","20","9.6","24","1"
"12.6","566.1","89","2","0.05","0.1","20","10.8","24","1"
"11.6","564.6","96","3","0.5","0.4","7","10.9","24","1"
"11.8","565.1","94","2","1","0.6","8","10.9","6","1"
"11.8","564","88","2","1","0.25","16","9.9","6","1"
"13.9","563.4","79","3","1","0.5","12","10.2","3","0"
"13.8","564.9","85","3","1","0.95","6","11.3","6","1"
"14.5","565.9","83","2","1","0.75","14","11.7","3","1"
"12.1","565.2","94","3","1","0.6","7","11.2","24","1"
"12.5","565.8","84","2","0.75","0.5","20","9.8","24","1"
"14","564.8","86","3","0.95","0.6","10","11.7","6","1"
"12.4","564.5","82","2","0.4","0.1","20","9.3","6","0"
"16.4","563.9","57","3","0.95","0.4","15","7.9","3","0"
"19.2","562","93","2","1","0.4","8","18.1","3","1"
"10.6","564.5","94","3","0.95","0.1","16","9.7","24","1"
"13.2","564.2","93","2","1","0.5","18","12","6","1"
"10.6","565.5","94","2","0.95","0.25","20","9.7","24","1"
"12.3","565.8","91","1","0.75","0.5","20","10.8","3","0"
"11","565.9","92","1","0.95","0.1","10","9.8","24","1"
"12.2","565.4","84","2","1","0.4","10","9.6","6","1"
"12.5","565.8","88","4","0.95","0.5","9","10.6","24","1"
"13.2","564.8","47","2","0.95","0.4","20","1.9","6","1"
"11.5","565.8","97","0","0.95","0.75","14","11.1","24","0"
"11.5","564.9","96","2","1","0.5","10","10.8","24","1"
"12.9","564.9","94","0","1","0.95","15","12","6","0"
"13.6","565.4","90","2","1","0.1","8","12","3","0"
"8.7","565.2","99","2","0.95","0.1","0.5","8.6","24","1"
"13.2","564.9","91","1","1","0.25","15","11.7","6","1"
"11.1","565","84","3","0.75","0.25","15","8.5","24","0"
"12.5","564","92","3","0.6","0.5","18","11.2","6","0"
"18.3","563.1","52","7","0.95","0.75","19","8.3","3","0"
"12.5","564.5","87","2","1","0.75","18","10.4","24","0"
"14.3","563.6","80","1","0.95","0.4","20","10.8","6","0"
"17","563.7","71","3","1","0.75","15","11.7","6","0"
"15.9","564.8","70","3","0.95","0.75","15","10.4","3","0"
"12.7","564.3","89","1","1","0.75","20","10.9","24","1"
"12.1","564.4","89","2","1","0.5","20","10.4","6","1"
"12.4","564.9","91","2","1","0.4","18","11","3","1"
"14.4","563.7","87","4","1","1","4","12.2","6","1"
"20.3","562.3","50","1","0.75","0.4","20","9.6","3","0"
"10.9","564.7","94","3","0.95","0.25","20","10","24","1"
"14.9","564","82","3","0.5","0.25","14","11.9","6","1"
"16.7","563.3","76","3","1","0.75","16","12.5","3","1"
"12.6","564.7","87","2","0.4","0.4","20","10.4","24","0"
"15.3","564.5","65","4","0.75","0.5","20","8.8","6","0"
"19","564.9","54","5","0.95","0.75","14","9.4","6","0"
"12.1","565.6","90","3","1","0.5","9","10.5","24","0"
"12.6","566.2","82","2","1","0.95","18","9.6","24","0"
"13.4","565.8","71","6","0.4","0.25","20","8.3","6","0"
"17.2","565.3","59","9","0.95","0.25","16","9.1","3","0"
"18.4","566.1","53","6","0.75","0.5","16","8.7","6","0"
"17.1","567.1","60","4","0.6","0.5","14","9.3","3","0"
"12.9","566.5","87","3","0.75","0.5","15","10.8","24","1"
"17.1","566.1","58","6","1","0.25","16","8.8","6","1"
"14","567","80","3","1","1","7","10.6","3","1"
"11.6","566","90","2","1","1","14","10","24","0"
"17.2","565.4","55","8","0.95","0.75","14","8.1","6","0"
"14.9","565.9","71","3","0.95","0.75","10","9.7","3","0"
"13.2","564.8","71","2","1","0.6","20","8","24","1"
"11.9","565.7","94","0","0.75","0.6","14","11","24","1"
"18.1","564.8","57","6","1","0.75","20","9.5","6","0"
"16.5","565.8","66","2","0.95","0.25","20","10","3","0"
"11.5","565.4","93","1","1","0.1","18","10.4","24","1"
"11.5","564.6","94","1","1","0.4","20","10.6","3","1"
"12.7","566.1","81","2","0.5","0.25","20","9.4","24","0"
"11","566.1","91","2","1","0.5","16","9.6","6","1"
"11.6","564.7","80","2","0.4","0.1","20","8.3","6","1"
"13","564.5","77","3","0.95","0.75","15","9.1","3","1"
"14.8","565.3","73","5","1","0.5","9","10","6","1"
"11.1","565.5","97","1","0.95","0.95","6","10.6","24","1"
"11","564.8","94","1","0.95","0.75","16","10","3","1"
"11.5","565.2","96","1","0.95","0.4","15","10.8","24","1"
"12","565.2","89","2","0.95","0.75","15","10.2","6","0"
"13.3","565.5","86","1","0.6","0.6","15","10.9","3","0"
"13.4","564.3","94","2","0.75","0.5","12","12.4","6","1"
"11.5","564.9","89","2","1","1","18","9.7","24","1"
"12.8","564.3","86","3","0.6","0.25","18","10.5","6","1"
"15.7","563.7","79","2","0.95","0.75","5","12","3","0"
"10.1","564.9","95","1","0.6","0.4","15","9.4","24","1"
"12","564.6","91","3","0.5","0.25","20","10.6","6","1"
"13.3","564.3","90","3","1","1","7","11.7","3","1"
"15.6","564.9","74","4","1","0.95","9","11","6","0"
"14.9","564.3","62","3","1","0.95","18","7.7","6","0"
"17.7","564.6","60","7","0.95","0.5","14","9.8","6","1"
"17.5","564.3","61","5","1","0.95","18","9.8","6","1"
"14.4","565.1","80","1","1","1","12","10.9","3","1"
"11.5","564.6","92","2","1","0.95","16","10.2","24","1"
"11","565.1","93","0","0.75","0.4","20","9.9","6","1"
"13.4","565.7","81","5","0.95","0.4","14","10.2","3","1"
"16","564","60","2","0.95","0.5","20","8.3","6","0"
"18.1","563.4","53","6","0.6","0.4","18","8.4","3","0"
"15.4","566.1","69","3","0.6","0.6","12","9.7","3","1"
"11.1","565.6","93","2","1","0.95","8","10","24","1"
"10.4","564.9","95","2","1","0.25","16","9.6","6","0"
"13.7","564.6","83","2","0.25","0.25","20","10.9","6","0"
"17.3","563.8","64","6","0.5","0.5","20","10.4","3","0"
"11.8","565.5","85","2","0.95","0.4","17","9.4","24","1"
"10.1","565.2","89","3","0.75","0.1","18","8.3","6","1"
"13.8","564.8","80","2","1","0.25","16","10.4","6","1"
"12","565.9","75","3","0.75","0.4","20","7.7","24","0"
"14","565.2","90","5","0.75","0.5","18","12.3","6","0"
"11.5","565.9","96","3","0.25","0.1","15","10.8","24","1"
"13","564.9","92","4","1","0.95","9","11.8","6","1"
"15.2","564","80","2","0.75","0.6","15","11.8","3","1"
"10.7","565.9","94","2","1","0.1","12","9.8","24","1"
"12.3","565.4","92","3","1","0.25","16","11.1","6","1"
"13.8","564.3","84","1","1","0.6","4","11.1","3","1"
"16.4","564.9","68","4","1","0.75","9","10.4","6","1"
"11.9","565.6","91","2","1","0.4","20","10.4","24","1"
"13.1","565.7","83","1","0.95","0.4","20","10.3","6","1"
"11.5","565.8","94","2","0.95","0.6","20","10.6","24","1"
"12.1","565.4","89","3","0.95","0.25","15","10.3","6","0"
"15.6","564","63","2","0.4","0.1","15","8.6","6","0"
"9","565.5","96","1","0.75","0.5","15","8.4","24","0"
"18.6","565","55","6","0.75","0.4","18","9.3","6","0"
"12.5","565.3","85","2","0.5","0.4","16","10","24","1"
"11.2","565.3","88","3","0.75","0.1","20","9.3","6","1"
"14.2","564.7","67","3","1","0.1","9","8","3","1"
"12.5","565.3","88","3","0.95","0.1","9","10.6","24","1"
"9.8","565.3","91","1","0.95","0.25","18","8.4","24","1"
"10.5","565.1","90","2","1","0.1","20","8.9","6","1"
"11.1","565.4","88","2","1","0.25","20","9.2","3","1"
"14.2","565.2","74","2","1","0.75","15","9.6","6","1"
"15.7","564.7","77","3","0.95","0.6","15","11.7","6","0"
"13.5","565.3","77","1","0.95","0.5","15","9.6","3","0"
"12.4","564.9","92","3","1","0.75","4","11.2","24","1"
"13","565.5","87","3","1","0.95","7","10.9","3","0"
"10.5","565","96","0","1","0.75","2","9.9","24","0"
"15.8","564.8","76","5","1","0.95","9","11.6","6","0"
"12.6","564.9","84","1","0.4","0.1","9","9.9","12","1"
"10.5","564.8","93","2","0.95","0.1","20","9.4","6","1"
"13.2","565.6","94","2","1","0.6","8","12.2","3","1"
"13.4","564","93","1","1","0.5","8","12.2","6","1"
"15.1","563.1","88","5","1","0.95","9","13.1","3","1"
"16.6","564.1","61","3","0.75","0.6","16","9.1","3","1"
"11.6","565.5","82","4","0.75","0.25","20","8.6","24","1"
"13.3","564.6","85","4","1","0.75","15","10.8","6","1"
"16.5","564.3","74","2","1","0.25","12","11.9","6","1"
"11.6","564.9","92","3","1","0.25","16","10.4","24","0"
"12.7","564.8","82","2","0.95","0.4","20","9.7","24","1"
"16.5","566.1","74","5","0.5","0.4","15","11.9","3","1"
"11.8","565.2","60","3","0.95","0.1","10","4.1","24","0"
"19.4","564.9","53","2","0.75","0.5","15","9.6","6","0"
"12.6","565.1","77","2","0.4","0.4","15","8.7","24","1"
"13","565.3","91","2","1","0.5","9","11.6","3","1"
"17.4","565.2","73","3","1","1","5","12.5","6","0"
"12.6","565.8","85","3","1","1","14","10.2","24","1"
"11.9","566.1","94","2","1","0.6","10","10.9","6","1"
"13.1","566","82","2","0.95","0.95","17","10.1","24","1"
"11.9","565.4","98","1","0.6","0.1","20","11.6","24","1"
"11.7","565.5","99","1","0.95","0.1","18","11.6","6","0"
"11.8","565.8","99","2","0.25","0.1","16","11.7","3","0"
"11.5","565.2","98","1","0.95","0.5","8","11.2","6","1"
"14.6","564.3","90","3","1","0.6","5","13","3","1"
"10.2","565.5","96","1","0.95","0.5","1.5","9.6","24","1"
"13.4","565.5","88","2","1","0.5","16","11.4","6","1"
"14.5","564.8","90","5","1","0.4","12","12.9","3","1"
"12.6","565.9","92","2","1","0.5","15","11.4","24","1"
"13.7","565.3","75","1","0.75","0.4","15","9.4","6","0"
"15.4","564.5","80","4","0.95","0.75","12","12","3","0"
"12.6","565.9","83","3","0.95","0.4","14","9.8","24","1"
"14.1","565.5","78","3","1","0.5","12","10.3","6","1"
"18.8","565.1","58","4","0.95","0.95","16","10.3","6","0"
"13.5","565.8","84","3","1","0.95","14","10.9","24","0"
"16.3","564.6","65","4","0.75","0.5","12","9.7","6","0"
"17.8","564.8","62","1","0.95","0.75","15","10.4","6","0"
"14.9","565.9","74","3","0.95","0.25","15","10.3","3","0"
"14","565.4","78","12","0.05","0.1","15","10.9","24","1"
"13.4","564.8","90","1","1","0.1","16","11.8","6","1"
"12","566.3","96","1","1","0.6","6","11.4","24","1"
"11.8","565.4","96","2","1","1","28","11.2","3","1"
"12.5","565.8","96","2","1","1","8","11.8","6","1"
"13","566.2","97","2","1","1","7","12.5","3","1"
"14","565.1","87","2","1","0.5","9","11.9","6","0"
"14.8","564.5","84","2","0.95","0.75","9","12.1","3","0"
"12.2","566.4","92","1","0.95","0.1","12","10.9","24","1"
"11.4","566","93","3","1","0.75","15","10.3","3","1"
"12.7","566.4","91","1","1","0.75","15","11.3","3","0"
"10.9","567","92","5","0.5","0.1","20","9.7","24","1"
"13.4","566.7","85","1","1","0.5","15","10.9","6","1"
"12.5","566.7","85","2","1","1","0.4","10","24","1"
"11.7","567.2","91","3","1","0.5","9","10.2","6","1"
"12.8","565.9","75","3","0.75","0.1","20","8.4","24","1"
"16.1","564.2","77","3","1","0.5","9","12.1","3","1"
"16.6","565.5","69","1","1","0.5","12","10.9","6","0"
"11.8","565.8","92","1","1","0.1","20","10.5","24","1"
"15","565.1","80","2","0.95","0.5","20","11.6","6","1"
"9.5","566.2","95","2","0.75","0.1","12","8.7","24","1"
"13.8","565.6","88","0","0.5","0.25","20","11.8","6","1"
"16","564.9","79","2","1","0.6","14","12.3","3","1"
"18.4","565.8","60","3","1","0.5","4","10.5","6","1"
"12.5","566.7","91","2","0.95","0.1","20","11","24","1"
"11.5","566.1","93","2","1","0.1","10","10.4","3","1"
"13.2","567","93","1","1","0.5","7","12.1","3","1"
"14.4","565.8","82","1","0.95","0.4","12","11.3","6","1"
"15","564.9","86","5","0.95","0.5","16","12.7","3","1"
"18.4","566.3","59","2","0.95","0.75","16","10.3","6","1"
"11.6","566.6","94","1","0.95","0.1","16","10.7","24","1"
"10.9","566.3","92","1","0.95","0.1","20","9.7","6","0"
"12.7","566.1","94","1","0.5","0.4","9","11.8","6","1"
"15.9","566.7","74","1","1","0.5","15","11.2","3","0"
"11.9","566.2","91","1","1","0.25","12","10.5","24","1"
"15.2","565.2","86","2","0.95","0.25","14","12.8","6","1"
"17","564.2","80","3","0.95","0.4","9","13.5","3","1"
"12.6","565.8","94","2","1","0.5","10","11.6","6","1"
"13.4","565.4","92","2","1","0.5","12","12.1","6","0"
"16.5","564.6","71","2","0.95","0.75","4","11.2","3","0"
"12.3","566.1","89","2","1","0.75","9","10.6","24","0"
"12.6","565.7","91","2","1","0.4","15","11.2","24","1"
"12","567","86","3","0.95","0.4","20","9.7","24","0"
"12.8","566.7","79","3","0.95","0","16","9.3","6","0"
"13.5","567.8","86","3","0.5","0.25","16","11.1","3","0"
"15.3","565.5","73","2","0.95","0.5","20","10.4","6","0"
"17","564.5","60","3","0.95","0.6","14","9.2","3","0"
"16.8","565.9","63","2","1","0.95","14","9.6","6","1"
"15","566.8","84","3","1","0.5","10","12.3","3","0"
"13.1","566.1","92","2","1","0.5","8","11.8","24","1"
"15.5","565.6","70","3","0.75","0.5","14","10","6","1"
"17","564.4","68","3","1","0.25","20","11","3","1"
"14.1","565.8","85","2","1","0.6","16","11.6","6","1"
"13.9","566.4","91","1","1","0.5","16","12.5","3","1"
"15.6","565.2","85","2","0.75","0.4","16","13.1","6","0"
"21.2","563.6","43","2","0.25","0.25","20","8.1","3","0"
"18.2","565.2","56","2","0.95","0.95","16","9.3","6","0"
"13.5","565.9","85","2","0.95","0.1","15","11","24","1"
"14.6","565.4","80","2","0.95","0.25","15","11.1","6","1"
"12.5","566.4","96","0","1","0.1","12","11.8","24","1"
"13.9","565.2","90","2","0.05","0.6","16","12.3","6","1"
"14.6","564.6","88","3","1","0.5","6","12.6","3","1"
"15.4","564.9","87","3","0.95","0.5","3","13.2","6","1"
"10.9","565.2","93","1","0.75","0.1","15","9.8","3","0"
"19.3","565.9","60","3","0.95","0.95","18","11.3","6","0"
"13.6","566.7","76","3","1","0.95","18","9.4","24","0"
"14","566","76","5","1","0.4","16","9.8","6","0"
"15.7","566.6","73","3","1","0.6","14","10.9","3","0"
"13.3","566.1","88","3","1","0.4","15","11.3","24","1"
"14","565.2","79","3","0.6","0.4","14","10.3","24","1"
"17.7","565.5","58","6","0.75","0.5","15","9.2","6","0"
"16.4","566.9","68","3","1","0.6","15","10.4","3","0"
"11.7","566.1","88","1","1","0.5","15","9.7","24","0"
"15.7","566.4","79","4","1","0.5","9","12.1","6","0"
"12.3","566.6","89","2","0.6","0.4","20","10.5","24","1"
"18.8","566.1","56","5","0.95","0.4","15","9.9","6","1"
"12.5","566.8","96","3","1","0.25","8","11.8","24","1"
"11.4","565.2","92","2","0.4","0.25","18","10.2","3","0"
"9.6","566.3","80","3","0.4","0.1","20","6.3","24","1"
"14.7","564.6","85","3","0.95","0.25","10","12.2","6","1"
"17.8","564.1","67","4","0.6","0.5","12","11.6","3","1"
"16.1","564.3","69","4","0.95","0.75","20","10.4","3","0"
"15.9","565.6","73","5","0.95","0.95","16","11.1","6","0"
"12","566","87","2","0.75","0.6","18","9.9","24","1"
"13.3","566.3","94","1","1","0.4","12","12.4","3","1"
"14.3","563.7","91","3","1","0.95","9","12.8","6","1"
"14.6","564.2","91","3","1","0.75","12","13.2","3","1"
"19.4","565.2","56","3","0.95","0.4","14","10.4","6","0"
"12.5","566.4","94","1","1","0.25","10","11.6","24","1"
"14.4","564.8","88","2","0.95","0.5","9","12.5","3","1"
"12.2","566.1","95","1","1","0.5","9","11.4","24","1"
"12.1","566.1","92","2","1","0.95","12","10.9","6","1"
"10.4","566","96","1","0.05","0.5","4","9.8","24","1"
"12.3","566.7","91","2","0.95","0.25","10","10.9","3","0"
"14.1","565.5","89","2","1","0.4","8","12.3","6","1"
"18.2","564.7","59","5","0.4","0.25","15","10.1","3","0"
"12.6","566.7","86","1","1","0.6","6","10.3","24","1"
"11.4","566.4","91","2","1","0.75","14","10","6","1"
"12.4","567.1","91","2","1","1","9","10.9","3","1"
"14.9","566.1","77","4","1","0.5","16","10.8","24","0"
"13.1","565.8","91","4","1","0.6","14","11.6","6","1"
"12.2","565.8","92","3","0.95","0.25","20","10.9","24","1"
"13.9","565.1","84","1","0.5","0.1","16","11.2","6","1"
"12.5","566.4","84","4","0.95","0.75","20","9.8","24","1"
"12","565.8","87","4","1","0.1","20","9.9","3","1"
"14.3","566.5","77","6","1","0.95","12","10.2","6","1"
"12.6","565.9","92","2","1","0.1","18","11.4","24","1"
"12.5","565.2","96","1","1","0.4","9","11.8","3","1"
"18.1","564.3","59","3","1","0.6","15","10","6","0"
"12.9","563.3","94","1","1","0.4","8","11.9","3","1"
"12.1","564.9","97","2","1","0.4","5","11.7","24","1"
"13.9","564","90","2","0.95","0.4","9","12.3","6","1"
"11.5","565.5","80","1","0.95","0.25","10","8.1","24","0"
"13.6","565.4","88","2","1","0.25","8","11.7","6","0"
"15.6","566","82","4","1","0.6","6","12.6","3","0"
"11.5","566","86","2","1","0.4","7","9.2","24","1"
"15.3","565.9","80","5","0.95","0.5","7","11.9","6","1"
"15.6","567","75","2","0.95","0.5","8","11.1","3","0"
"12","566","94","1","1","0.6","4","11.1","24","0"
"12.6","565.2","88","1","1","0.1","9","10.6","24","1"
"13.1","565.4","80","2","1","0.4","10","9.7","6","1"
"13.3","566.1","90","3","1","0.4","10","11.7","3","1"
"18.1","565.2","66","3","1","0.6","10","11.7","6","0"
"17.1","566.8","73","1","0.95","0.75","9","12.2","3","0"
"12.7","566.1","94","1","1","0.75","1.3","11.8","24","1"
"12.7","564.9","96","2","0.95","0.4","9","12.1","3","0"
"13.7","565.6","90","1","1","0.5","14","12.1","6","1"
"14.1","566.4","88","3","0.95","0.4","16","12.2","3","1"
"14.6","564.2","86","4","1","0.6","6","12.2","6","0"
"16.2","563.4","81","6","1","0.6","8","12.9","3","0"
"13.4","565.3","88","1","1","0.5","9","11.4","24","0"
"13.6","564","88","3","1","0.6","9","11.7","24","0"
"21","563.9","52","4","0.4","0.25","14","10.8","6","0"
"18.1","565.5","59","3","1","0.4","12","9.8","3","0"
"11.8","564.9","96","2","0.95","0.25","8","11.1","24","1"
"10.7","565.2","93","4","1","0.6","7","9.6","6","1"
"11.9","565.6","82","4","0.75","0.1","15","8.9","24","1"
"14","566.3","76","1","1","0.4","12","9.7","6","1"
"16","564.6","69","3","0.95","0.95","12","10.2","6","0"
"12","565.8","96","1","1","0.25","7","11.4","24","0"
"15","564.5","86","2","0.5","0.5","10","12.6","6","0"
"17","563.5","79","6","0.95","0.75","4","13.3","3","0"
"11.7","565.2","97","0","0.6","0.1","8","11.2","24","1"
"12.2","566.1","96","2","0.95","0.1","10","11.6","3","1"
"11.5","566.3","83","3","0.75","0.1","15","8.7","24","1"
"15.4","565.5","70","2","0.75","0.25","15","10","6","1"
"17","564.8","74","3","0.95","0.5","2","12.3","3","0"
"9.5","566","99","2","0.25","0.1","1","9.4","24","0"
"17.9","564.2","63","6","0.75","0.6","5","10.6","3","0"
"10.5","566","97","2","0.75","0.25","8","10","24","0"
"19.8","565.4","57","5","0.95","0.5","10","11.1","6","0"
"16.1","566.6","79","2","1","0.4","8","12.4","3","0"
"12.8","565.5","87","3","1","0.6","4","10.6","24","1"
"12.6","564.6","92","2","0.95","0.25","9","11.4","3","1"
"12.8","565.2","96","2","1","0.5","9","12.2","24","1"
"13","565.2","95","1","1","0.75","4","12.2","24","1"
"13.1","564.6","97","1","1","0.5","8","12.6","3","0"
"13.2","565.5","96","1","1","0.6","9","12.6","6","1"
"13.4","566.1","94","3","1","0.5","3","12.5","3","1"
"14.8","564.9","84","2","0.75","0.4","12","12.1","6","1"
"17","564.1","75","3","1","0.6","7","12.5","3","1"
"16.6","565.1","79","2","1","0.5","8","13","6","1"
"11.7","565.5","91","2","1","0.95","1.5","10.2","24","0"
"12.7","566","94","1","1","0.6","10","11.7","6","0"
"12.9","566.5","94","1","1","0.5","9","11.9","3","0"
"10.5","565.5","98","1","1","0.4","8","10.2","24","1"
"13.5","564","91","3","1","0.1","10","12","6","1"
"17.2","565.8","58","2","0.95","0.75","16","8.9","3","0"
"11.7","565.5","85","3","0.75","0.4","15","9.3","24","1"
"9.5","565.5","87","2","0.25","0.1","16","7.4","24","1"
"11.7","565.9","90","2","0.6","0.25","10","10.1","3","0"
"13.1","564.7","86","2","1","0.6","8","10.8","6","1"
"8.5","565.7","99","1","0.05","0.1","0.1","8.4","24","1"
"15.7","564.8","73","3","0.95","0.6","14","10.9","6","0"
"6.8","566.1","80","1","0.5","0.4","0.8","6","24","1"
"14.3","564.7","79","3","0.95","0.25","18","10.6","6","1"
"15.5","564.5","85","3","0.95","0.25","10","13","3","1"
"10.6","566","97","2","0.95","0.25","7","10.1","24","1"
"12.6","565.8","94","1","1","0.4","12","11.7","6","1"
"13","565.8","94","0","1","0.75","10","12.1","24","1"
"15.6","564.8","87","3","0.95","0.25","15","13.4","6","1"
"18.7","563.7","62","6","0.95","0.5","12","11.3","3","0"
"17.2","565.3","65","5","1","0.4","15","10.5","6","0"
"16.6","566.3","75","3","1","0.5","10","12.2","3","0"
"12.8","565.3","89","1","1","0.5","6","11","24","0"
"14.2","563.7","89","3","0.95","0.6","12","12.4","6","0"
